"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","p.value"
"dependent.var138","health_issue.chronic","na","NA","NA","0.09 (0.07-0)",NA,0.0732195592597816,0.10428405949653,"district","beygee",NA
"dependent.var139","health_issue.chronic","na","NA","NA","0.01 (0-0)",NA,0.00230198480743674,0.0112918182600505,"district","al.risafa",NA
"dependent.var140","health_issue.chronic","na","NA","NA","0.11 (0.09-0)",NA,0.0937324766208443,0.121925851942445,"district","zakho",NA
"dependent.var141","health_issue.chronic","na","NA","NA","0.12 (0.09-0)",NA,0.0941155342222186,0.142644590388373,"district","al.rutba",NA
"dependent.var142","health_issue.chronic","na","NA","NA","0.09 (0.07-0)",NA,0.0701100770199278,0.117841736812645,"district","tikrit",NA
"dependent.var143","health_issue.chronic","na","NA","NA","0.08 (0.06-0)",NA,0.0609624704144352,0.0945050612574123,"district","makhmour",NA
"dependent.var144","health_issue.chronic","na","NA","NA","0.09 (0.06-0)",NA,0.0563687862549755,0.117672511680128,"district","koysinjaq",NA
"dependent.var145","health_issue.chronic","na","NA","NA","0.12 (0.11-0)",NA,0.109438568362222,0.130964556070851,"district","sumail",NA
"dependent.var146","health_issue.chronic","na","NA","NA","0.1 (0.09-0)",NA,0.0850849999328053,0.109069983464169,"district","al.shirqat",NA
"dependent.var147","health_issue.chronic","na","NA","NA","0.07 (0.04-0)",NA,0.0445040817410541,0.0922580818225748,"district","haditha",NA
"dependent.var148","health_issue.chronic","na","NA","NA","0.01 (0-0)",NA,0.00100293762932955,0.013809703529264,"district","al.ramadi",NA
"dependent.var149","health_issue.chronic","na","NA","NA","0.13 (0.12-0)",NA,0.117246813919551,0.148944030045754,"district","tilkaef",NA
"dependent.var150","health_issue.chronic","na","NA","NA","0.01 (-0.01-0)",NA,-0.00685827212948064,0.0196751902671826,"district","al.kahla",NA
"dependent.var151","health_issue.chronic","na","NA","NA","0.11 (0.06-0)",NA,0.061615061885896,0.153483249368109,"district","al.basrah",NA
"dependent.var152","health_issue.chronic","na","NA","NA","0.01 (0-0)",NA,0.00439581956755932,0.0231344034345032,"district","heet",NA
"dependent.var153","health_issue.chronic","na","NA","NA","0",NA,0.000123088662273342,0.00695837631760752,"district","al.kadhmiyah",NA
"dependent.var154","health_issue.chronic","na","NA","NA","0.06 (0.03-0)",NA,0.0338393295281638,0.0823898938187126,"district","al.kaim",NA
"dependent.var155","health_issue.chronic","na","NA","NA","0.13 (0.1-0)",NA,0.102213458118252,0.149701398363726,"district","al.amadiya",NA
"dependent.var156","health_issue.chronic","na","NA","NA","0",NA,-0.000114280258525383,0.00138068048345354,"district","al.khalis",NA
"dependent.var157","health_issue.chronic","na","NA","NA","0.09 (0.07-0)",NA,0.0709677429674547,0.101040844379812,"district","daquq",NA
"dependent.var158","health_issue.chronic","na","NA","NA","0.11 (0.05-0)",NA,0.0549659298454522,0.15715528227576,"district","rawanduz",NA
"dependent.var159","health_issue.chronic","na","NA","NA","0.04 (0.03-0)",NA,0.0343320867643399,0.0461903165305021,"district","al.hindiya",NA
"dependent.var160","health_issue.chronic","na","NA","NA","0.1 (0.09-0)",NA,0.0871372066018259,0.120979304999881,"district","al.shikhan",NA
"dependent.var161","health_issue.chronic","na","NA","NA","0.05 (0.03-0)",NA,0.0332480594844177,0.0698909539684971,"district","kifri",NA
"dependent.var162","health_issue.chronic","na","NA","NA","0.12 (0.09-0)",NA,0.0907665654047984,0.143769517069428,"district","al.hawiga",NA
"dependent.var163","health_issue.chronic","na","NA","NA","0.08 (0.06-0)",NA,0.055559742913746,0.102013103933933,"district","khanaqin",NA
"dependent.var164","health_issue.chronic","na","NA","NA","0",NA,-0.00119334274078578,0.00544866188972195,"district","al.karkh",NA
"dependent.var165","health_issue.chronic","na","NA","NA","0.05 (0.03-0)",NA,0.0262274429071397,0.0700122341513883,"district","kalar",NA
"dependent.var166","health_issue.chronic","na","NA","NA","0.13 (0.09-0)",NA,0.0853255614921524,0.168799851049102,"district","ana",NA
